period,product_id,quantity
0,1756,0
0,1703,0
0,1700,0
0,570,0
0,1767,0
0,1707,0
0,1754,0
0,685,0
0,1704,0
0,1708,0
0,50,0
0,1718,0
0,1559,0
0,1709,0
0,1706,0
0,83,0
0,1697,0
0,1728,0
0,1789,0
0,1743,0
0,1701,0
0,1684,0
0,311,0
0,628,0
0,1714,0
0,1698,0
0,1719,0
0,1680,0
0,6306,0
0,49,0
0,2619,0
0,1699,0
0,1725,0
0,432,0
0,6500,0
0,1717,0
0,1723,0
0,3863,0
0,130,0
0,484,0
0,363,0
0,1712,0
0,780,0
0,626,0
0,739,0
0,1622,0
0,1690,0
0,974,0
0,135,0
0,3511,0
1,1756,0
1,1703,0
1,1700,0
1,570,0
1,1767,0
1,1707,0
1,1754,0
1,685,0
1,1704,0
1,1708,0
1,50,0
1,1718,0
1,1559,0
1,1709,0
1,1706,0
1,83,0
1,1697,0
1,1728,0
1,1789,0
1,1743,0
1,1701,0
1,1684,0
1,311,0
1,628,0
1,1714,0
1,1698,0
1,1719,0
1,1680,0
1,6306,0
1,49,0
1,2619,0
1,1699,0
1,1725,0
1,432,0
1,6500,0
1,1717,0
1,1723,0
1,3863,0
1,130,0
1,484,0
1,363,0
1,1712,0
1,780,0
1,626,0
1,739,0
1,1622,0
1,1690,0
1,974,0
1,135,0
1,3511,0
2,1756,12
2,1703,4
2,1700,0
2,570,0
2,1767,0
2,1707,55
2,1754,0
2,685,0
2,1704,6
2,1708,6
2,50,0
2,1718,12
2,1559,1
2,1709,0
2,1706,0
2,83,3
2,1697,0
2,1728,4
2,1789,0
2,1743,0
2,1701,0
2,1684,8
2,311,2
2,628,0
2,1714,4
2,1698,0
2,1719,7
2,1680,0
2,6306,0
2,49,1
2,2619,0
2,1699,0
2,1725,0
2,432,0
2,6500,0
2,1717,0
2,1723,6
2,3863,0
2,130,3
2,484,0
2,363,4
2,1712,2
2,780,0
2,626,7
2,739,0
2,1622,1
2,1690,5
2,974,0
2,135,4
2,3511,0
3,1756,6
3,1703,5
3,1700,0
3,570,0
3,1767,0
3,1707,28
3,1754,0
3,685,0
3,1704,6
3,1708,4
3,50,0
3,1718,5
3,1559,2
3,1709,0
3,1706,3
3,83,5
3,1697,0
3,1728,0
3,1789,0
3,1743,0
3,1701,0
3,1684,1
3,311,8
3,628,0
3,1714,1
3,1698,0
3,1719,8
3,1680,5
3,6306,0
3,49,2
3,2619,0
3,1699,4
3,1725,0
3,432,1
3,6500,0
3,1717,0
3,1723,4
3,3863,0
3,130,3
3,484,0
3,363,0
3,1712,1
3,780,0
3,626,6
3,739,0
3,1622,1
3,1690,13
3,974,1
3,135,0
3,3511,0
4,1756,0
4,1703,0
4,1700,0
4,570,0
4,1767,0
4,1707,0
4,1754,0
4,685,0
4,1704,0
4,1708,0
4,50,0
4,1718,0
4,1559,0
4,1709,0
4,1706,0
4,83,0
4,1697,0
4,1728,0
4,1789,0
4,1743,0
4,1701,0
4,1684,0
4,311,0
4,628,0
4,1714,0
4,1698,0
4,1719,0
4,1680,0
4,6306,0
4,49,0
4,2619,0
4,1699,0
4,1725,0
4,432,0
4,6500,0
4,1717,0
4,1723,0
4,3863,0
4,130,0
4,484,0
4,363,0
4,1712,0
4,780,0
4,626,0
4,739,0
4,1622,0
4,1690,0
4,974,0
4,135,0
4,3511,0
5,1756,0
5,1703,0
5,1700,0
5,570,0
5,1767,0
5,1707,0
5,1754,0
5,685,0
5,1704,0
5,1708,0
5,50,0
5,1718,0
5,1559,0
5,1709,0
5,1706,0
5,83,0
5,1697,0
5,1728,0
5,1789,0
5,1743,0
5,1701,0
5,1684,0
5,311,0
5,628,0
5,1714,0
5,1698,0
5,1719,0
5,1680,0
5,6306,0
5,49,0
5,2619,0
5,1699,0
5,1725,0
5,432,0
5,6500,0
5,1717,0
5,1723,0
5,3863,0
5,130,0
5,484,0
5,363,0
5,1712,0
5,780,0
5,626,0
5,739,0
5,1622,0
5,1690,0
5,974,0
5,135,0
5,3511,0
6,1756,20
6,1703,11
6,1700,0
6,570,0
6,1767,0
6,1707,12
6,1754,0
6,685,0
6,1704,1
6,1708,5
6,50,0
6,1718,14
6,1559,0
6,1709,0
6,1706,0
6,83,7
6,1697,0
6,1728,0
6,1789,0
6,1743,0
6,1701,0
6,1684,3
6,311,0
6,628,0
6,1714,0
6,1698,0
6,1719,4
6,1680,0
6,6306,0
6,49,3
6,2619,0
6,1699,0
6,1725,0
6,432,0
6,6500,0
6,1717,0
6,1723,3
6,3863,0
6,130,1
6,484,0
6,363,0
6,1712,1
6,780,0
6,626,0
6,739,0
6,1622,0
6,1690,3
6,974,0
6,135,2
6,3511,0
7,1756,6
7,1703,0
7,1700,0
7,570,0
7,1767,0
7,1707,0
7,1754,0
7,685,0
7,1704,5
7,1708,10
7,50,0
7,1718,1
7,1559,3
7,1709,0
7,1706,1
7,83,3
7,1697,0
7,1728,0
7,1789,0
7,1743,0
7,1701,0
7,1684,1
7,311,0
7,628,0
7,1714,8
7,1698,0
7,1719,5
7,1680,4
7,6306,0
7,49,2
7,2619,0
7,1699,4
7,1725,0
7,432,0
7,6500,0
7,1717,0
7,1723,5
7,3863,0
7,130,5
7,484,0
7,363,4
7,1712,0
7,780,0
7,626,6
7,739,0
7,1622,2
7,1690,5
7,974,0
7,135,1
7,3511,0
8,1756,6
8,1703,3
8,1700,0
8,570,0
8,1767,0
8,1707,0
8,1754,0
8,685,0
8,1704,3
8,1708,6
8,50,0
8,1718,3
8,1559,0
8,1709,0
8,1706,2
8,83,4
8,1697,0
8,1728,4
8,1789,0
8,1743,0
8,1701,0
8,1684,1
8,311,0
8,628,0
8,1714,1
8,1698,0
8,1719,3
8,1680,3
8,6306,0
8,49,1
8,2619,0
8,1699,0
8,1725,0
8,432,0
8,6500,0
8,1717,0
8,1723,7
8,3863,0
8,130,0
8,484,0
8,363,5
8,1712,3
8,780,0
8,626,0
8,739,0
8,1622,0
8,1690,6
8,974,0
8,135,4
8,3511,0
9,1756,3
9,1703,3
9,1700,0
9,570,0
9,1767,0
9,1707,83
9,1754,0
9,685,0
9,1704,4
9,1708,6
9,50,0
9,1718,4
9,1559,0
9,1709,0
9,1706,1
9,83,0
9,1697,0
9,1728,2
9,1789,0
9,1743,0
9,1701,0
9,1684,4
9,311,5
9,628,0
9,1714,4
9,1698,0
9,1719,5
9,1680,2
9,6306,0
9,49,0
9,2619,0
9,1699,0
9,1725,0
9,432,0
9,6500,0
9,1717,0
9,1723,1
9,3863,0
9,130,0
9,484,0
9,363,0
9,1712,1
9,780,0
9,626,6
9,739,0
9,1622,0
9,1690,0
9,974,1
9,135,6
9,3511,0
10,1756,4
10,1703,4
10,1700,0
10,570,0
10,1767,0
10,1707,18
10,1754,0
10,685,0
10,1704,2
10,1708,11
10,50,0
10,1718,15
10,1559,1
10,1709,0
10,1706,1
10,83,1
10,1697,0
10,1728,0
10,1789,0
10,1743,0
10,1701,0
10,1684,2
10,311,1
10,628,0
10,1714,2
10,1698,0
10,1719,6
10,1680,7
10,6306,0
10,49,0
10,2619,0
10,1699,2
10,1725,0
10,432,1
10,6500,0
10,1717,0
