period,product_id,starting_inventory_level,starting_inventory_position,order_quantities,interim_inventory_level,interim_inventory_position,demands,sales,unmet_demand
1,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.8406550300972745,0.8406550300972745,0.0
2,0,0.11648782704558258,0.11648782704558258,0.8406550300972745,0.9571428571428571,0.9571428571428571,0.5177298480094562,0.5177298480094562,0.0
3,0,0.43941300913340087,0.43941300913340087,0.5177298480094562,0.9571428571428571,0.9571428571428571,0.9644103367717046,0.9571428571428571,0.007267479628847551
4,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.8062243835207314,0.8062243835207314,0.0
5,0,0.15091847362212563,0.15091847362212563,0.8062243835207314,0.9571428571428571,0.9571428571428571,1.084285395034349,0.9571428571428571,0.12714253789149188
6,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.898081761976733,0.898081761976733,0.0
7,0,0.05906109516612412,0.05906109516612412,0.898081761976733,0.9571428571428571,0.9571428571428571,0.786776322877748,0.786776322877748,0.0
8,0,0.17036653426510906,0.17036653426510906,0.786776322877748,0.9571428571428571,0.9571428571428571,0.43889838780229795,0.43889838780229795,0.0
9,0,0.5182444693405591,0.5182444693405591,0.43889838780229795,0.9571428571428571,0.9571428571428571,0.5108472584916226,0.5108472584916226,0.0
10,0,0.44629559865123447,0.44629559865123447,0.5108472584916226,0.9571428571428571,0.9571428571428571,0.4432939945271097,0.4432939945271097,0.0
11,0,0.5138488626157474,0.5138488626157474,0.4432939945271097,0.9571428571428571,0.9571428571428571,0.7033032228603773,0.7033032228603773,0.0
12,0,0.2538396342824798,0.2538396342824798,0.7033032228603773,0.9571428571428571,0.9571428571428571,0.737695641268481,0.737695641268481,0.0
13,0,0.2194472158743761,0.2194472158743761,0.737695641268481,0.9571428571428571,0.9571428571428571,0.4643946651077949,0.4643946651077949,0.0
14,0,0.49274819203506215,0.49274819203506215,0.4643946651077949,0.9571428571428571,0.9571428571428571,0.7939579947659092,0.7939579947659092,0.0
15,0,0.16318486237694785,0.16318486237694785,0.7939579947659092,0.9571428571428571,0.9571428571428571,0.434124866702404,0.434124866702404,0.0
16,0,0.523017990440453,0.523017990440453,0.434124866702404,0.9571428571428571,0.9571428571428571,1.0884213968078253,0.9571428571428571,0.13127853966496827
17,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.9330993576727961,0.9330993576727961,0.0
18,0,0.024043499470061014,0.024043499470061014,0.9330993576727961,0.9571428571428571,0.9571428571428571,1.0166321064941048,0.9571428571428571,0.059489249351247775
19,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.620546341254569,0.620546341254569,0.0
20,0,0.3365965158882881,0.3365965158882881,0.620546341254569,0.9571428571428571,0.9571428571428571,0.9517984423265341,0.9517984423265341,0.0
21,0,0.005344414816322973,0.005344414816322973,0.9517984423265341,0.9571428571428571,0.9571428571428571,0.5850844108863404,0.5850844108863404,0.0
22,0,0.37205844625651663,0.37205844625651663,0.5850844108863404,0.9571428571428571,0.9571428571428571,0.4773827298666561,0.4773827298666561,0.0
23,0,0.479760127276201,0.479760127276201,0.4773827298666561,0.9571428571428571,0.9571428571428571,0.9820467358392246,0.9571428571428571,0.024903878696367565
24,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.2816008232819557,0.2816008232819557,0.0
25,0,0.6755420338609014,0.6755420338609014,0.2816008232819557,0.9571428571428571,0.9571428571428571,0.9719762222013119,0.9571428571428571,0.014833365058454784
26,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.6490782280752984,0.6490782280752984,0.0
27,0,0.3080646290675587,0.3080646290675587,0.6490782280752984,0.9571428571428571,0.9571428571428571,0.6876134952277954,0.6876134952277954,0.0
28,0,0.2695293619150617,0.2695293619150617,0.6876134952277954,0.9571428571428571,0.9571428571428571,0.32728343671728155,0.32728343671728155,0.0
29,0,0.6298594204255755,0.6298594204255755,0.32728343671728155,0.9571428571428571,0.9571428571428571,0.2724293251805777,0.2724293251805777,0.0
30,0,0.6847135319622794,0.6847135319622794,0.2724293251805777,0.9571428571428571,0.9571428571428571,0.11856001873198588,0.11856001873198588,0.0
31,0,0.8385828384108712,0.8385828384108712,0.11856001873198585,0.9571428571428571,0.9571428571428571,0.3585790767267173,0.3585790767267173,0.0
32,0,0.5985637804161398,0.5985637804161398,0.3585790767267173,0.9571428571428571,0.9571428571428571,0.7797188892235483,0.7797188892235483,0.0
33,0,0.1774239679193088,0.1774239679193088,0.7797188892235483,0.9571428571428571,0.9571428571428571,0.7887976501028945,0.7887976501028945,0.0
34,0,0.16834520703996259,0.16834520703996259,0.7887976501028945,0.9571428571428571,0.9571428571428571,0.31538996019549803,0.31538996019549803,0.0
35,0,0.641752896947359,0.641752896947359,0.31538996019549803,0.9571428571428571,0.9571428571428571,1.0314010071370712,0.9571428571428571,0.0742581499942141
36,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.15167684466477097,0.15167684466477097,0.0
37,0,0.8054660124780861,0.8054660124780861,0.15167684466477094,0.9571428571428571,0.9571428571428571,1.0077113432154732,0.9571428571428571,0.0505684860726161
38,0,0.0,0.0,0.9571428571428571,0.9571428571428571,0.9571428571428571,0.6434512807410592,0.6434512807410592,0.0
